Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-6089.427	-6291.017	201.59	0.534974	0.292592	0.0974673	0.0749667	2.24936	1.154028	4.204495	2.812486
6	-6080.184	-6282.846	202.6624	0.480605	0.342277	0.109771	0.0673479	1.531615	1.272414	3.842341	2.812486
12	-6084.703	-6285.454	200.7511	0.504589	0.309454	0.115249	0.0707088	1.735721	1.17993	5.236318	1.882298
18	-6099.771	-6301.132	201.3614	0.51961	0.246668	0.151864	0.0818578	2.04822	0.9935494	4.860537	1.89724
24	-6085.098	-6286.426	201.3279	0.391771	0.262705	0.295258	0.0502658	1.251207	1.145251	4.523814	3.709182
30	-6072.182	-6272.514	200.3326	0.459501	0.245451	0.273737	0.0213111	1.382682	1.166308	5.026997	3.621592
36	-6068.754	-6269.878	201.1242	0.413529	0.307269	0.24635	0.0328519	1.695149	1.068051	4.741894	2.840267
42	-6080.907	-6282.94	202.0338	0.419856	0.192445	0.342081	0.0456182	1.112617	1.027314	4.730542	2.334275
48	-6080.269	-6282.804	202.5348	0.486169	0.331811	0.121213	0.0608069	0.9874733	1.159538	4.396729	2.458403
54	-6067.246	-6270.009	202.763	0.328974	0.428141	0.171742	0.0711429	0.9984859	1.106383	4.784664	1.330661
60	-6078.551	-6280.73	202.1795	0.252433	0.513361	0.165605	0.0686008	0.638229	1.048	5.203181	1.634054
66	-6062.763	-6265.214	202.4505	0.259748	0.528236	0.141428	0.0705884	0.7500291	1.039588	5.203181	1.20328
72	-6076.903	-6277.209	200.3057	0.521582	0.194392	0.199505	0.0845211	1.566557	0.9765338	5.147276	3.329213
78	-6072.323	-6273.391	201.0688	0.512924	0.207765	0.196193	0.083118	1.438866	0.9547974	5.048157	2.581705
84	-6076.551	-6277.922	201.3711	0.443225	0.256306	0.207022	0.0934471	1.396895	1.153452	4.622658	3.063146
90	-6082.023	-6284.391	202.3678	0.466906	0.409113	0.0566755	0.0673053	1.29656	1.079785	4.343211	2.525565
96	-6073.826	-6276.342	202.5165	0.397297	0.418833	0.0319105	0.15196	1.29656	1.151193	4.298756	2.316861
102	-6066.749	-6268.418	201.6688	0.391143	0.455154	0.0846256	0.0690782	1.29656	1.122798	4.791034	2.316861
108	-6072.681	-6275.208	202.5275	0.371173	0.431916	0.080305	0.116607	0.8453458	1.058687	4.704682	2.040979
114	-6071.493	-6273.211	201.7176	0.342506	0.398558	0.161204	0.0977322	0.8453458	1.060039	4.663927	3.423232
120	-6071.05	-6274.1	203.0493	0.314793	0.492185	0.120168	0.0728537	1.051714	1.063937	4.663927	1.242748
126	-6074.896	-6277.726	202.83	0.319244	0.499144	0.121867	0.0597445	1.051714	1.039481	4.786677	1.268851
132	-6075.989	-6278.288	202.2993	0.372185	0.494337	0.0721813	0.0612968	1.019173	0.9927352	4.904339	1.73045
138	-6072.269	-6275.461	203.1918	0.369004	0.540183	0.0328285	0.057985	1.179574	1.081498	4.411275	1.425808
144	-6073.981	-6275.919	201.9379	0.303552	0.520375	0.128673	0.0473998	1.170599	1.059436	4.897479	1.933681
150	-6067.197	-6269.972	202.7752	0.350798	0.481896	0.133408	0.0338978	1.310383	1.135797	4.322129	1.909833
156	-6070.683	-6274.457	203.7735	0.356929	0.465758	0.144961	0.0323522	0.958574	1.111228	4.234901	1.333156
162	-6071.901	-6274.819	202.9181	0.356265	0.438015	0.163242	0.0424779	1.126605	1.279146	4.043309	2.433559
168	-6071.017	-6273.67	202.6535	0.419613	0.382201	0.151339	0.0468474	1.003741	1.255425	4.12721	2.838417
174	-6080.895	-6283.74	202.8452	0.362542	0.430835	0.17035	0.0362723	1.293758	1.243088	4.12721	2.153566
180	-6083.672	-6284.736	201.0631	0.445771	0.404749	0.0896774	0.0598019	1.227075	1.221528	4.987545	2.643441
186	-6072.415	-6274.891	202.4761	0.352605	0.526861	0.0732316	0.0473032	1.306173	1.109659	4.62577	1.646122
192	-6079.9	-6283.243	203.3425	0.326322	0.48759	0.14231	0.0437773	1.365699	1.065562	4.346597	1.214794
198	-6066.167	-6269.739	203.5724	0.358684	0.402112	0.191085	0.0481187	0.9729721	1.201485	4.011903	1.919016
204	-6069.481	-6271.866	202.3852	0.532158	0.227607	0.117971	0.122263	1.696257	1.158096	4.011903	2.745616
210	-6074.381	-6277.034	202.6536	0.459426	0.316405	0.157124	0.0670457	1.585777	1.139776	4.041639	2.423284
216	-6075.043	-6277.443	202.4002	0.631147	0.0977454	0.245729	0.0253791	2.251351	1.139844	3.672021	3.029675
222	-6089.395	-6292.388	202.9925	0.685008	0.0844477	0.212299	0.0182451	2.416469	1.18958	3.466459	2.396646
228	-6086.594	-6289.28	202.6854	0.508541	0.259052	0.109964	0.122443	2.400694	1.259848	3.842282	1.846644
234	-6065.12	-6267.794	202.6736	0.401148	0.493581	0.0205195	0.084751	1.996635	1.188356	4.055387	1.846644
240	-6062.118	-6264.73	202.6122	0.435109	0.499989	0.0231051	0.0417969	1.619744	1.168999	4.270688	1.846644
246	-6060.865	-6265.29	204.4249	0.397476	0.43157	0.0138984	0.157055	1.44434	1.268782	3.212331	1.936394
252	-6066.409	-6270.568	204.1591	0.464625	0.471535	0.010629	0.0532115	1.44434	1.384708	2.999593	2.661317
258	-6061.145	-6265.264	204.119	0.51295	0.415879	0.00846929	0.0627019	1.44434	1.302336	2.966027	2.947386
264	-6076.249	-6279.51	203.2613	0.528613	0.404836	0.0565911	0.00996037	1.600004	1.36947	3.047606	3.886925
270	-6068.265	-6272.918	204.6525	0.4209	0.526272	0.0484718	0.00435629	1.020159	1.36947	2.983214	2.577302
276	-6059.535	-6263.247	203.7122	0.356398	0.498255	0.0682344	0.0771123	1.325926	1.356144	3.485913	2.300601
282	-6083.587	-6286.273	202.6857	0.532665	0.372338	0.0361094	0.0588873	1.61557	1.219	3.801675	2.860768
288	-6091.855	-6294.536	202.6804	0.551385	0.337852	0.0646705	0.0460929	1.248328	1.147672	4.291625	2.170713
294	-6072.06	-6275.474	203.4144	0.430654	0.393537	0.0872682	0.0885408	1.092201	1.223516	3.740356	2.61583
300	-6080.203	-6285.135	204.9314	0.416156	0.380289	0.117995	0.0855601	1.143539	1.488219	2.883214	2.069881
306	-6084.657	-6289.982	205.3253	0.306599	0.512308	0.175763	0.00533006	0.8808772	1.34492	2.976218	1.880509
312	-6081.545	-6284.392	202.8465	0.549492	0.209214	0.191754	0.0495402	1.950366	1.22784	3.456625	3.125439
